Node1	Sign	Node2
XMetab__9750___c____	 1	X4846
XMetab__9750___m____	 1	X4846
XMetab__9750___e____	 1	X4846
XMetab__784___x____	-1	X4846
X4846	 1	XGene3007__4846
X4830	 1	XGene7316__4831_4830
XGene3007__4846	 1	XMetab__145068___c____
XGene7316__4831_4830	 1	XMetab__15993___c____
X1827	-1	X5530
X2534	 1	X1020
X1020	 1	X5602
X1020	 1	X6774
X5578	-1	X4846
X5578	-1	X2931
X5581	-1	X4846
X5788	 1	X2534
X83737	-1	X1840
X5580	-1	X4846
X6667	 1	X4846
X5501	 1	X4846
X6772	 1	X3659
X5602	 1	X3725
X1111	 1	X9212
X1017	 1	X1111
X207	-1	X1111
X1111	 1	X8317
X5580	-1	X2313
X5580	-1	X2931
X2305	 1	X9212
X4609	 1	X4830
X207	-1	X10413
X9113	 1	X10413
X1017	 1	X4609
X6772	 1	X4609
X5594	 1	X4609
X5599	 1	X4609
X3065	 1	X2313
X836	 1	X6789
X3316	-1	X836
X836	 1	X5062
X4193	-1	X4855
X6774	 1	X6688
X3725	 1	X6688
X1017	 1	X1032
X5594	 1	X1017
X1017	 1	X2305
X5594	 1	X4790
X23411	 1	X328
X5599	 1	X23411
X5501	 1	X1025
X207	-1	X2931
X207	-1	X6789
X6789	 1	X9113
X5599	 1	X6789
X328	 1	X8061
X3716	 1	X6772
X6773	 1	X6772
X5594	 1	X6772
X8554	-1	X6772
X6774	 1	X6772
X5599	 1	X6772
X6772	 1	X3660
X5595	-1	X4261
X3716	 1	X6773
X3716	 1	X6774
X3716	 1	X6777
X5788	 1	X3716
X5058	-1	X1487
X1487	 1	X9839
X1457	 1	X3065
X328	 1	X6774
X3316	-1	X5599
X5934	 1	X1874
X4855	 1	X3516
X5594	 1	X6667
X5599	 1	X6667
X1019	-1	X864
X1019	-1	X5934
X5594	 1	X6670
X6446	-1	X5594
X5594	 1	X1457
X5594	 1	X3091
X5594	 1	X6774
X5594	 1	X8550
X5594	 1	X3725
X5594	 1	X4261
X1457	 1	X5788
X5062	 1	X3725
X5599	 1	X6774
X815	-1	X2114
X5599	 1	X3725
X5502	-1	X5501
X5501	 1	X10320
X4261	 1	X5993
XMetab__784___x____	 1	X3164
XMetab__784___x____	 1	X5581
XMetab__784___x____	 1	X5595
XMetab__784___x____	 1	X207
XMetab__784___x____	 1	X1839
XMetab__15993___c____	-1	X2745
XMetab__145068___c____	-1	X1958
XMetab__790___x____	 1	XGene2920__7498
XGene2920__7498	 1	XMetab__784___x____
X5530	-1	X5502
X1020	-1	X5058
X5578	 1	X5592
X25937	 1	X4654
X9113	-1	X25937
X25937	 1	X7003
X5170	 1	X5578
X5578	 1	X5595
X2534	-1	X1499
X1499	 1	X4654
X836	-1	X1499
X207	 1	X1499
X2931	-1	X1499
X1499	 1	X3164
X5058	 1	X1499
X1499	 1	X6925
X5170	 1	X5581
X10413	-1	X83737
X5170	 1	X5580
X5580	 1	X688
X9261	 1	X4193
X5595	 1	X9261
X9261	 1	X3297
X9261	 1	X3316
X9261	 1	X8554
X9261	 1	X6722
X2745	 1	X4800
X5595	 1	X6720
X1017	-1	X4654
X4654	 1	X6597
X3065	-1	X4654
X836	-1	X207
X4193	 1	X8626
X207	 1	X4193
X2066	 1	X4193
X1017	-1	X8626
X1017	-1	X8856
X1017	-1	X5058
X1017	-1	X1045
X2099	 1	X2625
X207	 1	X2099
X5595	 1	X2099
X2066	 1	X2099
X5058	 1	X2099
X1457	-1	X2099
X5170	 1	X207
X5170	 1	X5058
X5170	 1	X6446
X5294	 1	X5170
X3316	 1	X207
X207	 1	X672
X207	 1	X5058
X207	 1	X4899
X5501	-1	X207
X207	 1	X3170
X207	 1	X6733
X207	 1	X5460
X5595	 1	X6721
X2931	-1	X2627
X2745	 1	X3661
X5599	-1	X3164
X3164	 1	X7026
X8856	 1	X3172
X672	 1	X6657
X4149	 1	X4335
X1457	-1	X4149
X4149	 1	X4601
X1032	-1	X1019
X5595	 1	X3297
X5595	 1	X1827
X5595	 1	X4150
X6597	 1	X6935
X5599	-1	X3297
X3065	-1	X7975
X8554	 1	X6662
X5594	-1	X5460
X1839	 1	X2066
X2066	 1	X5294
X5058	 1	X1999
X5501	-1	X815
X7026	 1	X7025
X1840	-1	X429
