Node1	Sign	Node2	Weight
XMetab__9750___c____	 1	X4846	100
XMetab__9750___m____	 1	X4846	100
XMetab__9750___e____	 1	X4846	100
XMetab__784___x____	-1	X4846	100
X4846	 1	XGene3007__4846	100
X4830	 1	XGene7316__4831_4830	100
XGene3007__4846	 1	XMetab__145068___c____	100
XGene7316__4831_4830	 1	XMetab__15993___c____	100
X1827	-1	X5530	100
X2534	 1	X1020	100
X1020	 1	X5602	100
X1020	 1	X6774	100
X5578	-1	X4846	100
X5578	-1	X2931	100
X5581	-1	X4846	100
X5788	 1	X2534	100
X83737	-1	X1840	100
X5580	-1	X4846	100
X6667	 1	X4846	100
X5501	 1	X4846	100
X6772	 1	X3659	100
X5602	 1	X3725	100
X1111	 1	X9212	100
X1017	 1	X1111	100
X207	-1	X1111	100
X1111	 1	X8317	100
X5580	-1	X2313	100
X5580	-1	X2931	100
X2305	 1	X9212	100
X4609	 1	X4830	100
X207	-1	X10413	100
X9113	 1	X10413	100
X1017	 1	X4609	100
X6772	 1	X4609	100
X5594	 1	X4609	100
X5599	 1	X4609	100
X3065	 1	X2313	100
X836	 1	X6789	100
X3316	-1	X836	100
X836	 1	X5062	100
X4193	-1	X4855	100
X6774	 1	X6688	100
X3725	 1	X6688	100
X1017	 1	X1032	100
X5594	 1	X1017	100
X1017	 1	X2305	100
X5594	 1	X4790	100
X23411	 1	X328	100
X5599	 1	X23411	100
X5501	 1	X1025	100
X207	-1	X2931	100
X207	-1	X6789	100
X6789	 1	X9113	100
X5599	 1	X6789	100
X328	 1	X8061	100
X3716	 1	X6772	100
X6773	 1	X6772	100
X5594	 1	X6772	100
X8554	-1	X6772	100
X6774	 1	X6772	100
X5599	 1	X6772	100
X6772	 1	X3660	100
X5595	-1	X4261	100
X3716	 1	X6773	100
X3716	 1	X6774	100
X3716	 1	X6777	100
X5788	 1	X3716	100
X5058	-1	X1487	100
X1487	 1	X9839	100
X1457	 1	X3065	100
X328	 1	X6774	100
X3316	-1	X5599	100
X5934	 1	X1874	100
X4855	 1	X3516	100
X5594	 1	X6667	100
X5599	 1	X6667	100
X1019	-1	X864	100
X1019	-1	X5934	100
X5594	 1	X6670	100
X6446	-1	X5594	100
X5594	 1	X1457	100
X5594	 1	X3091	100
X5594	 1	X6774	100
X5594	 1	X8550	100
X5594	 1	X3725	100
X5594	 1	X4261	100
X1457	 1	X5788	100
X5062	 1	X3725	100
X5599	 1	X6774	100
X815	-1	X2114	100
X5599	 1	X3725	100
X5502	-1	X5501	100
X5501	 1	X10320	100
X4261	 1	X5993	100
XMetab__784___x____	 1	X3164	100
XMetab__784___x____	 1	X5581	100
XMetab__784___x____	 1	X5595	100
XMetab__784___x____	 1	X207	100
XMetab__784___x____	 1	X1839	100
XMetab__15993___c____	-1	X2745	100
XMetab__145068___c____	-1	X1958	100
XMetab__790___x____	 1	XGene2920__7498	100
XGene2920__7498	 1	XMetab__784___x____	100
X5530	-1	X5502	100
X1020	-1	X5058	100
X5578	 1	X5592	100
X25937	 1	X4654	100
X9113	-1	X25937	100
X25937	 1	X7003	100
X5170	 1	X5578	100
X5578	 1	X5595	100
X2534	-1	X1499	100
X1499	 1	X4654	100
X836	-1	X1499	100
X207	 1	X1499	100
X2931	-1	X1499	100
X1499	 1	X3164	100
X5058	 1	X1499	100
X1499	 1	X6925	100
X5170	 1	X5581	100
X10413	-1	X83737	100
X5170	 1	X5580	100
X5580	 1	X688	100
X9261	 1	X4193	100
X5595	 1	X9261	100
X9261	 1	X3297	100
X9261	 1	X3316	100
X9261	 1	X8554	100
X9261	 1	X6722	100
X2745	 1	X4800	100
X5595	 1	X6720	100
X1017	-1	X4654	100
X4654	 1	X6597	100
X3065	-1	X4654	100
X836	-1	X207	100
X4193	 1	X8626	100
X207	 1	X4193	100
X2066	 1	X4193	100
X1017	-1	X8626	100
X1017	-1	X8856	100
X1017	-1	X5058	100
X1017	-1	X1045	100
X2099	 1	X2625	100
X207	 1	X2099	100
X5595	 1	X2099	100
X2066	 1	X2099	100
X5058	 1	X2099	100
X1457	-1	X2099	100
X5170	 1	X207	100
X5170	 1	X5058	100
X5170	 1	X6446	100
X5294	 1	X5170	100
X3316	 1	X207	100
X207	 1	X672	100
X207	 1	X5058	100
X207	 1	X4899	100
X5501	-1	X207	100
X207	 1	X3170	100
X207	 1	X6733	100
X207	 1	X5460	100
X5595	 1	X6721	100
X2931	-1	X2627	100
X2745	 1	X3661	100
X5599	-1	X3164	100
X3164	 1	X7026	100
X8856	 1	X3172	100
X672	 1	X6657	100
X4149	 1	X4335	100
X1457	-1	X4149	100
X4149	 1	X4601	100
X1032	-1	X1019	100
X5595	 1	X3297	100
X5595	 1	X1827	100
X5595	 1	X4150	100
X6597	 1	X6935	100
X5599	-1	X3297	100
X3065	-1	X7975	100
X8554	 1	X6662	100
X5594	-1	X5460	100
X1839	 1	X2066	100
X2066	 1	X5294	100
X5058	 1	X1999	100
X5501	-1	X815	100
X7026	 1	X7025	100
X1840	-1	X429	100
