Nodes	Activity
X5062	1
X815	-1
X1457	1
X9261	-1
X5581	-1
X5592	-1
X8550	1
X8317	1
X5599	1
X5170	-1
X1017	1
X2931	1
X1020	1
X1025	1
X9212	1
X6733	-1
X5602	1
X5530	1
X6657	-1
X1874	1
X2625	-1
X1958	-1
X2099	-1
X3172	-1
X6772	1
X6688	1
X6777	1
X864	1
X3725	1
X2305	1
X1999	-1
X6925	-1
X6667	1
X4335	-1
X4609	1
X3661	-1
X6774	1
X4149	-1
X3659	1
X4790	1
X3091	1
X8061	1
X6773	1
X6670	1
X5993	1
X7003	-1
X4800	-1
X4899	-1
X8626	-1
X3170	-1
X6662	-1
X5460	-1
X2627	-1
X3660	1
X688	-1
X2313	1
X2114	1
X7025	-1
X3516	1
X6722	-1
X7975	-1
X4601	-1
X6935	-1
X10320	1
X429	-1
X6720	-1
X4654	-1
X3297	-1
X1045	-1
X6721	-1
X4150	-1
X9839	1
XMetab__784___x____	-1
XMetab__5961___c____	1
XMetab__5961___e____	1
XMetab__5961___m____	1
XMetab__145068___c____	1
XMetab__9750___c____	1
XMetab__9750___m____	1
XMetab__9750___e____	1
XMetab__15993___c____	1
X2745	-1
X4830	1
X4846	1
X5294	-1
X1487	1
XMetab__107738___m____	-1
XMetab__107738___x____	-1
XMetab__700___c____	-1
XMetab__6029___c____	-1
XMetab__1110___m____	-1
XMetab__790___x____	-1
XGene2920__7498	-1
XMetab__190___e____	-1
XGene3007__4846	1
XMetab__790___c____	-1
XMetab__107738___c____	-1
XMetab__6426851___c____	-1
XMetab__6426851___e____	-1
XMetab__1110___c____	-1
XMetab__6021___c____	-1
XMetab__588___e____	-1
XMetab__107738___e____	-1
XMetab__190___c____	-1
XMetab__6021___e____	-1
XMetab__1110___e____	-1
XMetab__6029___e____	-1
XGene7316__4831_4830	1
XMetab__700___e____	-1
XMetab__790___e____	-1
X1827	-1
X2534	1
X6446	-1
X5578	-1
X25937	-1
X9113	1
X207	-1
X5580	-1
X836	1
X5595	-1
X5594	1
X5788	1
X1499	-1
X10413	1
X5058	-1
X6789	1
X4193	-1
X1839	-1
X83737	-1
X5501	1
X1111	1
X6597	-1
X3716	1
X1019	-1
X5934	1
X23411	1
X1032	1
X3065	1
X7026	-1
X3316	-1
X2066	-1
X328	1
X8856	-1
X672	-1
X8554	-1
X3164	-1
X4855	1
X1840	1
X5502	-1
X4261	1
XMetab__1110___x____	-1
XMetab__6029___l____	-1
XMetab__6029___n____	-1
XMetab__588___c____	-1
