source,target
cpd:C00026_c,GOT1
cpd:C00606_c,GOT1
GOT1,cpd:C00025_c
GOT1,3snpyr_c
cpd:C00026_m,GOT2
cpd:C00606_m,GOT2
GOT2,cpd:C00025_m
GOT2,3snpyr_m
cpd:C00440_e,FOLR1
FOLR1,cpd:C00440_c
FOLR1_reverse,cpd:C00440_e
cpd:C00440_c,FOLR1_reverse
cpd:C00440_e,FOLR1>10
FOLR1>10,cpd:C00440_c
FOLR1>10_reverse,cpd:C00440_e
cpd:C00440_c,FOLR1>10_reverse
cpd:C00440_e,FOLR1>11
FOLR1>11,cpd:C00440_c
FOLR1>11_reverse,cpd:C00440_e
cpd:C00440_c,FOLR1>11_reverse
cpd:C00440_e,FOLR1>12
FOLR1>12,cpd:C00440_c
FOLR1>12_reverse,cpd:C00440_e
cpd:C00440_c,FOLR1>12_reverse
cpd:C00440_e,FOLR3
FOLR3,cpd:C00440_c
FOLR3_reverse,cpd:C00440_e
cpd:C00440_c,FOLR3_reverse
cpd:C00440_e,FOLR1>13
FOLR1>13,cpd:C00440_c
FOLR1>13_reverse,cpd:C00440_e
cpd:C00440_c,FOLR1>13_reverse
cpd:C00440_e,FOLR1>14
FOLR1>14,cpd:C00440_c
FOLR1>14_reverse,cpd:C00440_e
cpd:C00440_c,FOLR1>14_reverse
cpd:C00440_e,SLC19A1<2
SLC19A1<2,cpd:C00440_c
SLC19A1<2_reverse,cpd:C00440_e
cpd:C00440_c,SLC19A1<2_reverse
cpd:C00440_e,SLC19A1>15<2
SLC19A1>15<2,cpd:C00440_c
SLC19A1>15<2_reverse,cpd:C00440_e
cpd:C00440_c,SLC19A1>15<2_reverse
cpd:C00164_c,AACS
AACS,cpd:C00332_c
cpd:C01888_c,AOC3
AOC3,cpd:C00546_c
cpd:C00322_c,AADAT>16
cpd:C00025_c,AADAT>16
AADAT>16,cpd:C00956_c
AADAT>16,cpd:C00026_c
cpd:C00322_c,AADAT>17
cpd:C00025_c,AADAT>17
AADAT>17,cpd:C00956_c
AADAT>17,cpd:C00026_c
cpd:C00026_m,ABAT>18
cpd:C00334_m,ABAT>18
ABAT>18,cpd:C00025_m
ABAT>18,cpd:C00232_m
ABAT>18_reverse,cpd:C00026_m
ABAT>18_reverse,cpd:C00334_m
cpd:C00025_m,ABAT>18_reverse
cpd:C00232_m,ABAT>18_reverse
cpd:C00026_m,ABAT>19
cpd:C00334_m,ABAT>19
ABAT>19,cpd:C00025_m
ABAT>19,cpd:C00232_m
ABAT>19_reverse,cpd:C00026_m
ABAT>19_reverse,cpd:C00334_m
cpd:C00025_m,ABAT>19_reverse
cpd:C00232_m,ABAT>19_reverse
cpd:C00555_c,ALDH9A1
ALDH9A1,cpd:C00334_c
cpd:C00334_e,SLC36A1<2
SLC36A1<2,cpd:C00334_c
SLC36A1<2_reverse,cpd:C00334_e
cpd:C00334_c,SLC36A1<2_reverse
cpd:C00334_e,SLC6A1<2
SLC6A1<2,cpd:C00334_c
SLC6A1<2_reverse,cpd:C00334_e
cpd:C00334_c,SLC6A1<2_reverse
cpd:C00334_e,SLC6A11<2
SLC6A11<2,cpd:C00334_c
SLC6A11<2_reverse,cpd:C00334_e
cpd:C00334_c,SLC6A11<2_reverse
cpd:C00334_e,SLC6A13<2
SLC6A13<2,cpd:C00334_c
SLC6A13<2_reverse,cpd:C00334_e
cpd:C00334_c,SLC6A13<2_reverse
cpd:C00334_e,SLC6A12<2
SLC6A12<2,cpd:C00334_c
SLC6A12<2_reverse,cpd:C00334_e
cpd:C00334_c,SLC6A12<2_reverse
cpd:C03344_m,ACAT1
ACAT1,cpd:C00024_m
ACAT1,cpd:C00100_m
cpd:C03344_m,HADHB
HADHB,cpd:C00024_m
HADHB,cpd:C00100_m
cpd:C03344_m,ACAA2
ACAA2,cpd:C00024_m
ACAA2,cpd:C00100_m
cpd:C00332_c,ACAT2
ACAT2,cpd:C00024_c
cpd:C00164_e,SLC16A1<2
SLC16A1<2,cpd:C00164_c
SLC16A1<2_reverse,cpd:C00164_e
cpd:C00164_c,SLC16A1<2_reverse
cpd:C00164_e,SLC16A7<2
SLC16A7<2,cpd:C00164_c
SLC16A7<2_reverse,cpd:C00164_e
cpd:C00164_c,SLC16A7<2_reverse
cpd:C00164_c,SLC16A1>20<2
SLC16A1>20<2,cpd:C00164_m
SLC16A1>20<2_reverse,cpd:C00164_c
cpd:C00164_m,SLC16A1>20<2_reverse
cpd:C00207_c,SLC16A1>21<2
SLC16A1>21<2,cpd:C00207_e
SLC16A1>21<2_reverse,cpd:C00207_c
cpd:C00207_e,SLC16A1>21<2_reverse
cpd:C00207_c,SLC16A3<2
SLC16A3<2,cpd:C00207_e
SLC16A3<2_reverse,cpd:C00207_c
cpd:C00207_e,SLC16A3<2_reverse
cpd:C00207_c,SLC16A7>22<2
SLC16A7>22<2,cpd:C00207_e
SLC16A7>22<2_reverse,cpd:C00207_c
cpd:C00207_e,SLC16A7>22<2_reverse
cpd:C00207_m,SLC16A1>23<2
SLC16A1>23<2,cpd:C00207_c
SLC16A1>23<2_reverse,cpd:C00207_m
cpd:C00207_c,SLC16A1>23<2_reverse
cpd:C00158_c,ACLY
ACLY,cpd:C00009_c
ACLY,cpd:C00024_c
ACLY,cpd:C00036_c
cpd:C00158_c,ACLY>24
ACLY>24,cpd:C00009_c
ACLY>24,cpd:C00024_c
ACLY>24,cpd:C00036_c
cpd:C01033_m,ACADSB
ACADSB,cpd:C03345_m
ACADSB,cpd:C01352_m
cpd:C01033_m,ACADM
ACADM,cpd:C03345_m
ACADM,cpd:C01352_m
cpd:C02939_m,IVD
IVD,cpd:C01352_m
IVD,cpd:C03069_m
cpd:C00630_m,ACADM>25
ACADM>25,cpd:C01352_m
ACADM>25,cpd:C03460_m
cpd:C00630_m,ACAD8
ACAD8,cpd:C01352_m
ACAD8,cpd:C03460_m
cpd:C00024_c,ACOT12
ACOT12,cpd:C00033_c
cpd:C00158_c,IREB2
IREB2,cpd:C00311_c
IREB2_reverse,cpd:C00158_c
cpd:C00311_c,IREB2_reverse
cpd:C00158_c,ACO1
ACO1,cpd:C00311_c
ACO1_reverse,cpd:C00158_c
cpd:C00311_c,ACO1_reverse
cpd:C00158_m,ACO2
ACO2,cpd:C00311_m
ACO2_reverse,cpd:C00158_m
cpd:C00311_m,ACO2_reverse
cpd:C00158_m,ACO1>26
ACO1>26,cpd:C00311_m
ACO1>26_reverse,cpd:C00158_m
cpd:C00311_m,ACO1>26_reverse
cpd:C00033_c,AACS>27
AACS>27,cpd:C00024_c
cpd:C00033_c,ACSS2
ACSS2,cpd:C00024_c
cpd:C00033_c,ACSS2>28
ACSS2>28,cpd:C00024_c
cpd:C00033_m,ACSS1
ACSS1,cpd:C00024_m
cpd:C00005_c,CYP2E1
cpd:C05235_c,CYP2E1
CYP2E1,cpd:C00546_c
cpd:C00005_c,CYP2E1>29
cpd:C00207_c,CYP2E1>29
CYP2E1>29,cpd:C05235_c
cpd:C00236_c,RWDD2A
RWDD2A,cpd:C00009_c
RWDD2A,cpd:C00197_c
cpd:C00236_c,ACYP2
ACYP2,cpd:C00009_c
ACYP2,cpd:C00197_c
cpd:C00236_c,ACYP1
ACYP1,cpd:C00009_c
ACYP1,cpd:C00197_c
cpd:C00236_c,ACYP1>30
ACYP1>30,cpd:C00009_c
ACYP1>30,cpd:C00197_c
AMD1,cpd:C01137_c
cpd:C00212_c,ADK
cpd:C00212_c,ADK>39
cpd:C00041_m,AGXT2
cpd:C00048_m,AGXT2
AGXT2,cpd:C00022_m
AGXT2,cpd:C00037_m
cpd:C00041_m,ETNPPL
cpd:C00048_m,ETNPPL
ETNPPL,cpd:C00022_m
ETNPPL,cpd:C00037_m
cpd:C00021_c,AHCY
AHCY,cpd:C00212_c
AHCY,cpd:C00155_c
cpd:C00021_c,AHCYL1
AHCYL1,cpd:C00212_c
AHCYL1,cpd:C00155_c
cpd:C00021_c,AHCYL1>40
AHCYL1>40,cpd:C00212_c
AHCYL1>40,cpd:C00155_c
cpd:C00026_m,4967_1738_8050_1743
4967_1738_8050_1743,cpd:C00091_m
cpd:C00026_m,SLC25A11<1
cpd:C00149_c,SLC25A11<2
SLC25A11<1,cpd:C00026_c
SLC25A11<2,cpd:C00149_m
SLC25A11<1_reverse,cpd:C00026_m
SLC25A11<2_reverse,cpd:C00149_c
cpd:C00026_c,SLC25A11<1_reverse
cpd:C00149_m,SLC25A11<2_reverse
cpd:C00026_m,SLC25A10<1
cpd:C00149_c,SLC25A10<2
SLC25A10<1,cpd:C00026_c
SLC25A10<2,cpd:C00149_m
SLC25A10<1_reverse,cpd:C00026_m
SLC25A10<2_reverse,cpd:C00149_c
cpd:C00026_c,SLC25A10<1_reverse
cpd:C00149_m,SLC25A10<2_reverse
cpd:C00026_e,SLC13A3<2
SLC13A3<1,cpd:C00026_c
SLC13A3<2_reverse,cpd:C00026_e
cpd:C00026_c,SLC13A3<1_reverse
cpd:C00026_e,SLC13A3>43<2
SLC13A3>43<1,cpd:C00026_c
SLC13A3>43<2_reverse,cpd:C00026_e
cpd:C00026_c,SLC13A3>43<1_reverse
cpd:C00041_e,SLC1A5<2
cpd:C00152_c,SLC1A5<3
SLC1A5<2,cpd:C00041_c
SLC1A5<3,cpd:C00152_e
SLC1A5<2_reverse,cpd:C00041_e
SLC1A5<3_reverse,cpd:C00152_c
cpd:C00041_c,SLC1A5<2_reverse
cpd:C00152_e,SLC1A5<3_reverse
cpd:C00041_e,SLC1A4<2
cpd:C00097_c,SLC1A4<3
SLC1A4<2,cpd:C00041_c
SLC1A4<3,cpd:C00097_e
SLC1A4<2_reverse,cpd:C00041_e
SLC1A4<3_reverse,cpd:C00097_c
cpd:C00041_c,SLC1A4<2_reverse
cpd:C00097_e,SLC1A4<3_reverse
cpd:C00041_e,SLC1A5>44<2
cpd:C00097_c,SLC1A5>44<3
SLC1A5>44<2,cpd:C00041_c
SLC1A5>44<3,cpd:C00097_e
SLC1A5>44<2_reverse,cpd:C00041_e
SLC1A5>44<3_reverse,cpd:C00097_c
cpd:C00041_c,SLC1A5>44<2_reverse
cpd:C00097_e,SLC1A5>44<3_reverse
cpd:C00041_e,6520_56301
cpd:C00064_c,6520_56301
6520_56301,cpd:C00041_c
6520_56301,cpd:C00064_e
6520_56301_reverse,cpd:C00041_e
6520_56301_reverse,cpd:C00064_c
cpd:C00041_c,6520_56301_reverse
cpd:C00064_e,6520_56301_reverse
cpd:C00041_e,SLC1A5>45<2
cpd:C00064_c,SLC1A5>45<3
SLC1A5>45<2,cpd:C00041_c
SLC1A5>45<3,cpd:C00064_e
SLC1A5>45<2_reverse,cpd:C00041_e
SLC1A5>45<3_reverse,cpd:C00064_c
cpd:C00041_c,SLC1A5>45<2_reverse
cpd:C00064_e,SLC1A5>45<3_reverse
cpd:C00041_e,56301_6520
cpd:C00037_c,56301_6520
56301_6520,cpd:C00041_c
56301_6520,cpd:C00037_e
56301_6520_reverse,cpd:C00041_e
56301_6520_reverse,cpd:C00037_c
cpd:C00041_c,56301_6520_reverse
cpd:C00037_e,56301_6520_reverse
cpd:C00041_e,SLC1A4>46<2
cpd:C00065_c,SLC1A4>46<3
SLC1A4>46<2,cpd:C00041_c
SLC1A4>46<3,cpd:C00065_e
SLC1A4>46<2_reverse,cpd:C00041_e
SLC1A4>46<3_reverse,cpd:C00065_c
cpd:C00041_c,SLC1A4>46<2_reverse
cpd:C00065_e,SLC1A4>46<3_reverse
cpd:C00041_e,SLC1A5>47<2
cpd:C00065_c,SLC1A5>47<3
SLC1A5>47<2,cpd:C00041_c
SLC1A5>47<3,cpd:C00065_e
SLC1A5>47<2_reverse,cpd:C00041_e
SLC1A5>47<3_reverse,cpd:C00065_c
cpd:C00041_c,SLC1A5>47<2_reverse
cpd:C00065_e,SLC1A5>47<3_reverse
cpd:C00041_e,SLC36A2<2
SLC36A2<2,cpd:C00041_c
SLC36A2<2_reverse,cpd:C00041_e
cpd:C00041_c,SLC36A2<2_reverse
cpd:C00041_e,SLC36A1>48<2
SLC36A1>48<2,cpd:C00041_c
SLC36A1>48<2_reverse,cpd:C00041_e
cpd:C00041_c,SLC36A1>48<2_reverse
cpd:C00041_e,SLC38A2<2
SLC38A2<2,cpd:C00041_c
SLC38A2<2_reverse,cpd:C00041_e
cpd:C00041_c,SLC38A2<2_reverse
cpd:C00041_e,SLC7A2<2
SLC7A2<2,cpd:C00041_c
SLC7A2<2_reverse,cpd:C00041_e
cpd:C00041_c,SLC7A2<2_reverse
cpd:C00041_e,SLC6A14<2
SLC6A14<2,cpd:C00041_c
SLC6A14<2_reverse,cpd:C00041_e
cpd:C00041_c,SLC6A14<2_reverse
cpd:C00041_e,SLC7A1<2
SLC7A1<2,cpd:C00041_c
SLC7A1<2_reverse,cpd:C00041_e
cpd:C00041_c,SLC7A1<2_reverse
cpd:C00041_e,SLC38A1<2
SLC38A1<2,cpd:C00041_c
SLC38A1<2_reverse,cpd:C00041_e
cpd:C00041_c,SLC38A1<2_reverse
cpd:C00041_e,SLC38A4<2
SLC38A4<2,cpd:C00041_c
SLC38A4<2_reverse,cpd:C00041_e
cpd:C00041_c,SLC38A4<2_reverse
cpd:C00041_e,SLC7A3<2
SLC7A3<2,cpd:C00041_c
SLC7A3<2_reverse,cpd:C00041_e
cpd:C00041_c,SLC7A3<2_reverse
cpd:C00041_e,340024_57393
340024_57393,cpd:C00041_c
cpd:C00041_e,ACE2
ACE2,cpd:C00041_c
cpd:C00026_c,GPT
cpd:C00041_c,GPT
GPT,cpd:C00022_c
GPT,cpd:C00025_c
GPT_reverse,cpd:C00026_c
GPT_reverse,cpd:C00041_c
cpd:C00022_c,GPT_reverse
cpd:C00025_c,GPT_reverse
cpd:C00026_c,GPT2
cpd:C00041_c,GPT2
GPT2,cpd:C00022_c
GPT2,cpd:C00025_c
GPT2_reverse,cpd:C00026_c
GPT2_reverse,cpd:C00041_c
cpd:C00022_c,GPT2_reverse
cpd:C00025_c,GPT2_reverse
cpd:C00041_e,SLC1A4>49<2
cpd:C00188_c,SLC1A4>49<3
SLC1A4>49<2,cpd:C00041_c
SLC1A4>49<3,cpd:C00188_e
SLC1A4>49<2_reverse,cpd:C00041_e
SLC1A4>49<3_reverse,cpd:C00188_c
cpd:C00041_c,SLC1A4>49<2_reverse
cpd:C00188_e,SLC1A4>49<3_reverse
cpd:C00041_e,SLC1A5>50<2
cpd:C00188_c,SLC1A5>50<3
SLC1A5>50<2,cpd:C00041_c
SLC1A5>50<3,cpd:C00188_e
SLC1A5>50<2_reverse,cpd:C00041_e
SLC1A5>50<3_reverse,cpd:C00188_c
cpd:C00041_c,SLC1A5>50<2_reverse
cpd:C00188_e,SLC1A5>50<3_reverse
cpd:C00041_e,SLC38A5<3
SLC38A5<3,cpd:C00041_c
SLC38A5<3_reverse,cpd:C00041_e
cpd:C00041_c,SLC38A5<3_reverse
cpd:C00041_e,SLC38A3<3
SLC38A3<3,cpd:C00041_c
SLC38A3<3_reverse,cpd:C00041_e
cpd:C00041_c,SLC38A3<3_reverse
cpd:C02917_c,ADH6
ADH6,cpd:C00424_c
cpd:C02917_c,ADH1B
ADH1B,cpd:C00424_c
cpd:C02917_c,125_124
125_124,cpd:C00424_c
cpd:C02917_c,ADH5
ADH5,cpd:C00424_c
cpd:C02917_c,ADH1C
ADH1C,cpd:C00424_c
cpd:C02917_c,ZADH2
ZADH2,cpd:C00424_c
cpd:C02917_c,ADHFE1
ADHFE1,cpd:C00424_c
cpd:C02917_c,ADH4
ADH4,cpd:C00424_c
cpd:C02917_c,ADH1A
ADH1A,cpd:C00424_c
cpd:C02917_c,126_124
126_124,cpd:C00424_c
cpd:C02917_c,ZADH2>51
ZADH2>51,cpd:C00424_c
cpd:C02917_c,125_126
125_126,cpd:C00424_c
cpd:C02917_c,ADH7
ADH7,cpd:C00424_c
cpd:C00424_c,ADH1C>52
ADH1C>52,cpd:C00546_c
cpd:C00424_c,ADHFE1>53
ADHFE1>53,cpd:C00546_c
cpd:C00424_c,126_124
126_124,cpd:C00546_c
cpd:C00424_c,ADH4>55
ADH4>55,cpd:C00546_c
cpd:C00424_c,ADH6>56
ADH6>56,cpd:C00546_c
cpd:C00424_c,ZADH2>57
ZADH2>57,cpd:C00546_c
cpd:C00424_c,125_124
125_124,cpd:C00546_c
cpd:C00424_c,ADH5>59
ADH5>59,cpd:C00546_c
cpd:C00424_c,ADH1A>60
ADH1A>60,cpd:C00546_c
cpd:C00424_c,ADH1B>61
ADH1B>61,cpd:C00546_c
cpd:C00424_c,ZADH2>62
ZADH2>62,cpd:C00546_c
cpd:C00424_c,ADH7>63
ADH7>63,cpd:C00546_c
cpd:C00424_c,125_126
125_126,cpd:C00546_c
cpd:C00005_c,AKR1A1
cpd:C05235_c,AKR1A1
AKR1A1,cpd:C02917_c
cpd:C00005_c,AKR7A2
cpd:C05235_c,AKR7A2
AKR7A2,cpd:C02917_c
cpd:C00005_c,AKR1A1>65
cpd:C05235_c,AKR1A1>65
AKR1A1>65,cpd:C02917_c
cpd:C00005_c,AKR1B1
cpd:C05235_c,AKR1B1
AKR1B1,cpd:C02917_c
cpd:C00021_m,SLC25A26<2
SLC25A26<1,cpd:C00021_c
SLC25A26<2_reverse,cpd:C00021_m
cpd:C00021_c,SLC25A26<1_reverse
cpd:C00021_m,SLC25A26>66<2
SLC25A26>66<1,cpd:C00021_c
SLC25A26>66<2_reverse,cpd:C00021_m
cpd:C00021_c,SLC25A26>66<1_reverse
cpd:C00021_m,SLC25A26>67<2
SLC25A26>67<1,cpd:C00021_c
SLC25A26>67<2_reverse,cpd:C00021_m
cpd:C00021_c,SLC25A26>67<1_reverse
cpd:C00047_c,9057_6520
cpd:C00062_e,9057_6520
9057_6520,cpd:C00062_c
9057_6520,cpd:C00047_e
cpd:C00062_c,ARG1
ARG1,cpd:C00077_c
ARG1,cpd:C00086_c
cpd:C00062_c,ARG2
ARG2,cpd:C00077_c
ARG2,cpd:C00086_c
cpd:C00062_m,ARG2>68
ARG2>68,cpd:C00086_m
ARG2>68,cpd:C00077_m
cpd:C00062_e,SLC6A14>69<2
SLC6A14>69<2,cpd:C00062_c
SLC6A14>69<2_reverse,cpd:C00062_e
cpd:C00062_c,SLC6A14>69<2_reverse
cpd:C00062_e,SLC7A1>70<1
SLC7A1>70<1,cpd:C00062_c
SLC7A1>70<1_reverse,cpd:C00062_e
cpd:C00062_c,SLC7A1>70<1_reverse
cpd:C00062_e,SLC7A2>71<1
SLC7A2>71<1,cpd:C00062_c
SLC7A2>71<1_reverse,cpd:C00062_e
cpd:C00062_c,SLC7A2>71<1_reverse
cpd:C00062_e,SLC38A4>72<1
SLC38A4>72<1,cpd:C00062_c
SLC38A4>72<1_reverse,cpd:C00062_e
cpd:C00062_c,SLC38A4>72<1_reverse
cpd:C00062_e,SLC7A3>73<1
SLC7A3>73<1,cpd:C00062_c
SLC7A3>73<1_reverse,cpd:C00062_e
cpd:C00062_c,SLC7A3>73<1_reverse
cpd:C00062_c,SLC25A2<2
SLC25A2<2,cpd:C00062_m
SLC25A2<2_reverse,cpd:C00062_c
cpd:C00062_m,SLC25A2<2_reverse
cpd:C00062_c,SLC25A15<2
SLC25A15<2,cpd:C00062_m
SLC25A15<2_reverse,cpd:C00062_c
cpd:C00062_m,SLC25A15<2_reverse
cpd:C00041_c,SLC1A5>74<2
cpd:C00152_e,SLC1A5>74<3
SLC1A5>74<2,cpd:C00041_e
SLC1A5>74<3,cpd:C00152_c
SLC1A5>74<2_reverse,cpd:C00041_c
SLC1A5>74<3_reverse,cpd:C00152_e
cpd:C00041_e,SLC1A5>74<2_reverse
cpd:C00152_c,SLC1A5>74<3_reverse
cpd:C00152_e,SLC1A5>75<2
cpd:C00097_c,SLC1A5>75<3
SLC1A5>75<2,cpd:C00152_c
SLC1A5>75<3,cpd:C00097_e
SLC1A5>75<2_reverse,cpd:C00152_e
SLC1A5>75<3_reverse,cpd:C00097_c
cpd:C00152_c,SLC1A5>75<2_reverse
cpd:C00097_e,SLC1A5>75<3_reverse
cpd:C00152_e,SLC1A5>76<2
cpd:C00064_c,SLC1A5>76<3
SLC1A5>76<2,cpd:C00152_c
SLC1A5>76<3,cpd:C00064_e
SLC1A5>76<2_reverse,cpd:C00152_e
SLC1A5>76<3_reverse,cpd:C00064_c
cpd:C00152_c,SLC1A5>76<2_reverse
cpd:C00064_e,SLC1A5>76<3_reverse
cpd:C00049_c,ASNS
cpd:C00064_c,ASNS
ASNS,cpd:C00025_c
ASNS,cpd:C00152_c
cpd:C00049_c,ASNS>77
cpd:C00064_c,ASNS>77
ASNS>77,cpd:C00025_c
ASNS>77,cpd:C00152_c
cpd:C00049_c,ASNS>78
cpd:C00064_c,ASNS>78
ASNS>78,cpd:C00025_c
ASNS>78,cpd:C00152_c
cpd:C00152_e,SLC1A5>79<2
cpd:C00065_c,SLC1A5>79<3
SLC1A5>79<2,cpd:C00152_c
SLC1A5>79<3,cpd:C00065_e
SLC1A5>79<2_reverse,cpd:C00152_e
SLC1A5>79<3_reverse,cpd:C00065_c
cpd:C00152_c,SLC1A5>79<2_reverse
cpd:C00065_e,SLC1A5>79<3_reverse
cpd:C00152_e,SLC38A1>80<2
SLC38A1>80<2,cpd:C00152_c
SLC38A1>80<2_reverse,cpd:C00152_e
cpd:C00152_c,SLC38A1>80<2_reverse
cpd:C00152_e,SLC6A14>81<2
SLC6A14>81<2,cpd:C00152_c
SLC6A14>81<2_reverse,cpd:C00152_e
cpd:C00152_c,SLC6A14>81<2_reverse
cpd:C00152_e,SLC38A2>82<2
SLC38A2>82<2,cpd:C00152_c
SLC38A2>82<2_reverse,cpd:C00152_e
cpd:C00152_c,SLC38A2>82<2_reverse
cpd:C00152_e,SLC38A4>83<2
SLC38A4>83<2,cpd:C00152_c
SLC38A4>83<2_reverse,cpd:C00152_e
cpd:C00152_c,SLC38A4>83<2_reverse
cpd:C00152_e,340024_57393
340024_57393,cpd:C00152_c
cpd:C00152_e,ACE2>85
ACE2>85,cpd:C00152_c
cpd:C00152_e,SLC1A5>86<2
cpd:C00188_c,SLC1A5>86<3
SLC1A5>86<2,cpd:C00152_c
SLC1A5>86<3,cpd:C00188_e
SLC1A5>86<2_reverse,cpd:C00152_e
SLC1A5>86<3_reverse,cpd:C00188_c
cpd:C00152_c,SLC1A5>86<2_reverse
cpd:C00188_e,SLC1A5>86<3_reverse
cpd:C00152_e,SLC38A5>87<3
SLC38A5>87<3,cpd:C00152_c
SLC38A5>87<3_reverse,cpd:C00152_e
cpd:C00152_c,SLC38A5>87<3_reverse
cpd:C00152_e,SLC38A3>88<3
SLC38A3>88<3,cpd:C00152_c
SLC38A3>88<3_reverse,cpd:C00152_e
cpd:C00152_c,SLC38A3>88<3_reverse
cpd:C00025_c,SLC25A12>89<2
cpd:C00049_m,SLC25A12>89<3
SLC25A12>89<2,cpd:C00025_m
SLC25A12>89<3,cpd:C00049_c
SLC25A12>89<2_reverse,cpd:C00025_c
SLC25A12>89<3_reverse,cpd:C00049_m
cpd:C00025_m,SLC25A12>89<2_reverse
cpd:C00049_c,SLC25A12>89<3_reverse
cpd:C00025_c,SLC25A13>90<2
cpd:C00049_m,SLC25A13>90<3
SLC25A13>90<2,cpd:C00025_m
SLC25A13>90<3,cpd:C00049_c
SLC25A13>90<2_reverse,cpd:C00025_c
SLC25A13>90<3_reverse,cpd:C00049_m
cpd:C00025_m,SLC25A13>90<2_reverse
cpd:C00049_c,SLC25A13>90<3_reverse
cpd:C00026_c,GOT1>91
cpd:C00049_c,GOT1>91
GOT1>91,cpd:C00025_c
GOT1>91,cpd:C00036_c
GOT1>91_reverse,cpd:C00026_c
GOT1>91_reverse,cpd:C00049_c
cpd:C00025_c,GOT1>91_reverse
cpd:C00036_c,GOT1>91_reverse
cpd:C00025_m,GOT2>92
cpd:C00036_m,GOT2>92
GOT2>92,cpd:C00026_m
GOT2>92,cpd:C00049_m
cpd:C00009_m,513_498_506_509_514
cpd:C00099_c,SLC32A1
SLC32A1,cpd:C00009_c
SLC32A1,cpd:C00099_e
SLC32A1_reverse,cpd:C00099_c
cpd:C00009_c,SLC32A1_reverse
cpd:C00099_e,SLC32A1_reverse
cpd:C00155_c,BHMT2
cpd:C00719_c,BHMT2
BHMT2,cpd:C01026_c
BHMT2,cpd:C00073_c
cpd:C00155_c,BHMT
cpd:C00719_c,BHMT
BHMT,cpd:C01026_c
BHMT,cpd:C00073_c
cpd:C00288_c,CAD
cpd:C00064_c,CAD
