source,target
cpd:C02218_c,SDS
SDS,cpd:C00022_c
cpd:C00956_c,SLC25A21<1
cpd:C00026_m,SLC25A21<2
SLC25A21<1,cpd:C00956_m
SLC25A21<2,cpd:C00026_c
SLC25A21<1_reverse,cpd:C00956_c
SLC25A21<2_reverse,cpd:C00026_m
cpd:C00956_m,SLC25A21<1_reverse
cpd:C00026_c,SLC25A21<2_reverse
cpd:C00288_e,SLC4A5<1
SLC4A5<1,cpd:C00288_c
SLC4A5<1_reverse,cpd:C00288_e
cpd:C00288_c,SLC4A5<1_reverse
cpd:C00288_e,SLC4A4<1
SLC4A4<1,cpd:C00288_c
SLC4A4<1_reverse,cpd:C00288_e
cpd:C00288_c,SLC4A4<1_reverse
cpd:C00288_e,SLC4A5>1<1
SLC4A5>1<1,cpd:C00288_c
SLC4A5>1<1_reverse,cpd:C00288_e
cpd:C00288_c,SLC4A5>1<1_reverse
cpd:C00288_e,SLC4A5>2<1
SLC4A5>2<1,cpd:C00288_c
SLC4A5>2<1_reverse,cpd:C00288_e
cpd:C00288_c,SLC4A5>2<1_reverse
cpd:C00288_e,SLC4A5>3<1
SLC4A5>3<1,cpd:C00288_c
SLC4A5>3<1_reverse,cpd:C00288_e
cpd:C00288_c,SLC4A5>3<1_reverse
cpd:C00322_m,4967_1738_8050_1743
4967_1738_8050_1743,cpd:C00527_m
cpd:C00026_m,SLC25A21>5<1
cpd:C00322_c,SLC25A21>5<2
SLC25A21>5<1,cpd:C00026_c
SLC25A21>5<2,cpd:C00322_m
SLC25A21>5<1_reverse,cpd:C00026_m
SLC25A21>5<2_reverse,cpd:C00322_c
cpd:C00026_c,SLC25A21>5<1_reverse
cpd:C00322_m,SLC25A21>5<2_reverse
cpd:C01179_c,HPD
HPD,cpd:C00544_c
cpd:C00349_m,ABAT
cpd:C00025_m,ABAT
ABAT,cpd:C00026_m
ABAT,cpd:C01205_m
cpd:C00349_m,ABAT>6
cpd:C00025_m,ABAT>6
ABAT>6,cpd:C00026_m
ABAT>6,cpd:C01205_m
cpd:C01205_m,ABAT>7
ABAT>7,cpd:C01205_c
cpd:C01205_m,ABAT>8
ABAT>8,cpd:C01205_c
cpd:C00632_c,HAAO
HAAO,cpd:C04409_c
cpd:C00026_c,AADAT
cpd:C03227_c,AADAT
AADAT,42A3HP24DB_c
AADAT,cpd:C00025_c
cpd:C00026_c,KYAT1
cpd:C03227_c,KYAT1
KYAT1,42A3HP24DB_c
KYAT1,cpd:C00025_c
cpd:C00026_c,AADAT>9
cpd:C03227_c,AADAT>9
AADAT>9,42A3HP24DB_c
AADAT>9,cpd:C00025_c
cpd:C00606_c,SLC25A13<1
cpd:C00049_m,SLC25A13<2
SLC25A13<1,cpd:C00606_m
SLC25A13<2,cpd:C00049_c
SLC25A13<1_reverse,cpd:C00606_c
SLC25A13<2_reverse,cpd:C00049_m
cpd:C00606_m,SLC25A13<1_reverse
cpd:C00049_c,SLC25A13<2_reverse
cpd:C00606_c,SLC25A12<1
cpd:C00049_m,SLC25A12<2
SLC25A12<1,cpd:C00606_m
SLC25A12<2,cpd:C00049_c
SLC25A12<1_reverse,cpd:C00606_c
SLC25A12<2_reverse,cpd:C00049_m
cpd:C00606_m,SLC25A12<1_reverse
cpd:C00049_c,SLC25A12<2_reverse
