#nodeA	nodeB	score1
Metab__702[c]	6517	0
Metab__702[c]	4846	0
Metab__702[c]	4843	0
Metab__702[c]	1576	0
Metab__702[c]	5743	0
Metab__702[c]	6609	0
Metab__702[c]	5315	0
Metab__702[c]	2597	0
Metab__702[c]	Gene294__125_126	0
Metab__702[c]	Gene294__137872	0
Metab__702[c]	Gene294__125_124	0
Metab__702[c]	Gene294__127	0
Metab__702[c]	Gene294__130	0
Metab__702[c]	Gene294__284273	0
Metab__702[c]	Gene294__126	0
Metab__702[c]	Gene294__124	0
Metab__702[c]	Gene294__128	0
Metab__702[c]	Gene294__125	0
Metab__702[c]	Gene294__131	0
Metab__702[c]	Gene294__126_124	0
Metab__702[c]	Gene295__10327	0
Metab__702[c]	Gene959__1571	0
Metab__702[c]	Gene960__ETOHtx	0
Metab__702[c]	Gene7529__ETOHt_reverse	0
Metab__702[c]	1385	0
Metab__702[c]	7157	0
Metab__702[c]	836	0
Metab__702[c]	5599	0
Metab__702[c]	627	0
Metab__702[c]	8878	0
Metab__702[c]	444	0
Metab__702[c]	834	0
Metab__702[c]	22861	0
Metab__702[c]	1958	0
Metab__702[c]	7098	0
Metab__702[c]	998	0
Metab__702[c]	5443	0
Metab__702[c]	4851	0
Metab__702[c]	3481	0
Metab__702[c]	2668	0
Metab__702[c]	2335	0
Metab__702[c]	7124	0
Metab__702[c]	2475	0
Metab__702[c]	3479	0
Metab__702[c]	7422	0
Metab__702[c]	2309	0
Metab__702[c]	3480	0
Metab__702[c]	3569	0
Metab__702[c]	22943	0
Metab__702[c]	2353	0
Metab__702[c]	3553	0
Metab__702[c]	1401	0
Metab__702[c]	3606	0
Metab__702[c]	335	0
Metab__702[c]	655	0
Metab__702[c]	4852	0
Metab__702[c]	9370	0
Metab__702[c]	338	0
Metab__702[c]	7200	0
Metab__702[c]	2741	0
Metab__702[c]	7442	0
Metab__702[c]	1786	0
Metab__702[c]	5054	0
Metab__702[c]	2554	0
Metab__702[x]	6517	0
Metab__702[x]	4846	0
