ID,11KI,11TU,25KI,40KI,24KI,31KI,31TU,40TU,24TU,25TU,26KI,37KI,36KI,36TU,32KI,26TU,32TU,37TU
d8-valine,42.32516753848924,43.471946542114,43.35414341636411,41.76844773010754,42.559152744178746,42.55116362132193,42.095423404236456,42.38971989563251,42.686851900167184,42.5129269034924,43.36855836413008,42.76463137275621,42.40688429518518,42.69519205492921,42.82770417341338,43.5169957173584,42.609303268365835,41.928130901408096
inosine,34.21664308171107,33.36581918117943,35.15648565735469,33.65477094150634,34.209479658808476,34.56119952416472,33.73319883917286,31.2380101308344,34.34304068738136,34.149178632910406,35.183764297526196,34.88359265499243,34.4219911875754,33.06925777315175,33.2169087891516,34.84473111239792,32.62064883438349,33.72954944134271
linoleic acid,33.8655686411642,33.66160588218949,33.04634188423779,32.753904133525594,32.908410168818776,32.65176673399375,31.530569672657837,32.05833147149609,32.190337426467636,32.36671349059755,32.760821600162004,33.69701641299996,32.450005563744995,33.091750133600385,32.70168394347742,33.81825890103674,31.736864721135472,31.509719534074083
myristic_acid,31.909070279800783,32.56570420310631,31.173646208512867,29.815680331112286,30.212278292161155,30.043720620159558,29.700131137487187,30.83188368546295,30.124423309736297,29.645074406678635,31.270948867960573,30.41752358443299,30.315163021458122,31.721187263462152,29.566958841464203,31.42969361311908,29.485832251755124,29.53635466057755
oleic_acid,34.503524229499234,35.087066541598716,34.53404845121487,33.188532361162316,33.80838135048751,33.33031564193463,32.986726159262275,33.78309661205677,33.69366145816444,33.91138151857564,34.72876039092971,33.98847922716027,33.23499267277414,34.333371232918324,33.0781885712196,35.47276233501097,32.89611622106334,32.630013767791795
palmitic_acid,35.242380643124676,35.80356803320521,36.04767217021576,34.2774660895826,34.82218715001254,34.56627051371214,33.91961196340374,34.61259717499432,34.47538045323519,34.63157139999102,36.47461408122811,35.710412006369,34.49910011327316,35.721187263462156,34.57338511062363,35.85290504384362,33.982364869024664,34.09567734014061
palmitoleic acid,32.39857251940114,32.89461497113979,30.79708285704866,29.807015469985156,30.45843887943055,29.789964027913772,29.734619513872484,30.74397659631352,30.039889799524634,30.03746824541339,30.379008613818026,30.27478341231691,30.353637169272762,31.503595828389525,28.29011863610538,31.81825890103674,29.056664423641386,29.252051637990107
stearic acid,33.76655863533303,34.08027737593608,34.871083438492434,33.188532361162316,33.65226214857023,33.25694245560442,32.40235969037809,33.12219767580615,32.792933601704405,33.149178632910406,35.1718901972379,34.68077577199276,33.39342203537862,34.083757342846866,33.226001435053604,34.230789544705004,32.726191219621015,32.822658845734196
stearoyl_carnitine,31.793116846815902,NA,30.403815980441035,31.057684881702695,31.335477356958823,31.28919665460904,31.11225704134613,30.74397659631352,29.502032402437674,30.769535040166755,30.80146358465935,31.49387447056311,31.890344501386696,28.046080139702983,32.27792922709746,NA,34.44519026725777,NA
oleylcarnitine,33.10883979217657,32.101891189042135,32.14410193289885,32.9238291349679,33.545346944653716,32.869243664916084,33.63010534620875,33.47716054993731,32.153452358347835,33.177193009080014,32.42695389196312,32.89208189515776,33.18252525288,33.26432958848868,33.56743584429245,33.277690519674024,35.686824038635876,31.8202523480271
palmitoylcarnitine,32.937359324232204,31.592671250706584,32.163865187720276,33.066787088809946,33.31739499797537,32.9239953597569,33.27731628761663,32.59281252297987,31.59976131928296,32.24493761571584,32.61057896458139,32.57344172788143,33.06135956335754,33.17986923539986,33.5312156563797,32.228278325548956,35.29980091552663,31.426730169403054
