ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Isovalerylcarnitine,3.875635543058401,25.5884284122421,49.33386768032344,3.5281313190223015e-14,2.469691923315611e-12,23.178074900078638
Creatine,2.3615711627892075,32.078007395710394,38.595746634933775,5.069516322953991e-13,1.774330713033897e-11,20.559792935260585
Asparagine,-2.310862750612632,25.017726253003318,-33.76361702362283,2.1584930167205862e-12,5.0364837056813674e-11,19.090274994665645
Glycine,-2.441037842980162,21.73252127333507,-31.232264620210206,5.012781666426506e-12,8.772367916246386e-11,18.22415986852013
Serine,-2.775542462126346,21.90250551132466,-30.03031942610378,7.658325285540596e-12,1.0721655399756834e-10,17.785785276052746
Threonine,-2.29908990752088,24.367685954281193,-25.90426578584098,3.7651017605624776e-11,4.3926187206562234e-10,16.124545043162275
Taurine,1.2464372289523489,27.815388265931396,22.407759348085882,1.783939826594224e-10,1.7839398265942238e-9,14.484615776372188
Alanine,-1.275187373159259,26.590772595470025,-16.527443853199763,4.524821752647517e-9,3.959219033566577e-8,11.039583053575093
2-HG,2.811416909260565,22.468404336973087,14.567509405590679,1.6980799999399802e-8,1.3207288888422067e-7,9.621454258043343
aKG,1.8869584148583698,25.02349222328352,14.116912480136147,2.3548834673095997e-8,1.5812895795096604e-7,9.27031291798599
Acetylcarnitine,0.8035308711865241,25.879322629944784,14.044086376597278,2.4848836249437522e-8,1.5812895795096604e-7,9.212594455676474
Aspartate,-1.0276340382744955,24.519481106312558,-13.74394758639238,3.109215816176725e-8,1.8137092261030894e-7,8.9717878787866
Glutamine,0.9906858563491951,27.26222673635859,11.329363454706135,2.2532887162813568e-7,1.2133093087668846e-6,6.841826811630122
Glutamate,0.8005842207605411,29.964801808696937,10.690583165194003,4.044920376977505e-7,2.0224601884887525e-6,6.212298639701162
N-AcetylAspartate,-6.661693485179455,21.414899076241106,-11.338199849198002,5.365055457431934e-7,2.385955813420003e-6,6.061248079955883
3Phosphoserine,1.6699143821676614,19.8018418509984,10.376225683715973,5.453613287817151e-7,2.385955813420003e-6,5.890788160830963
S-Adenosyl-Methionine,0.9770753091669668,22.950130613787447,10.214892880375954,6.376202779788065e-7,2.6254952622656736e-6,5.722634149449508
ButyrylCarnitine,0.7547092999799041,26.376417638135017,9.695876657922529,1.0692546501773373e-6,4.158212528467422e-6,5.166515707804647
Hypotaurine,1.9363396527572476,19.80008442350195,9.11232332780505,1.965295705793568e-6,7.240563126607882e-6,4.512001088973731
Histidine,-0.7240985388986374,25.572264526546086,-8.065651437453138,6.347444011909649e-6,2.2216054041683772e-5,3.2526066330711583
Methionine,-0.7530870722581895,25.075967105434536,-7.890954377019432,7.804699755423622e-6,2.6015665851412077e-5,3.0308430130365487
AMP,0.9771355431512667,19.558152861149775,7.656914453073752,1.0348875192977431e-5,3.267876209963364e-5,2.7282383939835206
Glycerylphosphorylethanolamine,-1.202468192848265,23.47133258642248,-7.626723075753573,1.073730754702248e-5,3.267876209963364e-5,2.6887343500636884
S-Adenosyl-Homocysteine,1.068495835958096,17.306582591271347,5.6811215167257485,1.463373481715873e-4,4.144844444295528e-4,-0.10057739984048197
Lactate,0.5537974384636541,28.15524804788847,5.6733103201479675,1.480301587248403e-4,4.144844444295528e-4,-0.11279360553696272
Tyrosine,-0.5079427440414221,23.877246694165184,-5.440158997026028,2.094898542191906e-4,5.640111459747439e-4,-0.48127404699919296
Fructose,0.4170639322002785,25.052594699290474,5.305750045410472,2.5681718253981936e-4,6.658223251032354e-4,-0.6970685564083245
Succinic_Glutathione,-1.8574666630139394,14.069094639419564,-5.273690148373896,2.697049763454617e-4,6.742624408636542e-4,-0.7489026372150498
Phenylalanine,-0.4126348440961465,24.916124590024022,-4.901855429550825,4.810126600356296e-4,0.001161065041465313,-1.3600957852171591
Pyroglutamic_Acid,0.4859208975118179,24.14539993970595,4.669449468012985,6.974439077502677e-4,0.001627369118083958,-1.7511921288333
Betaine,-0.3417414740589706,27.960278865925176,-4.570570372340057,8.18739923712335e-4,0.0018487675696730148,-1.9196060554191794
Carbamoyl_Aspartate,0.9339341646155255,18.12202889151932,4.464605530346808,9.736795766972302e-4,0.002129924074025191,-2.101369635766554
Argininosuccinate,-1.4188436588004336,16.011435394291574,-4.420441410083269,0.0010470830482970889,0.002221085253963522,-2.1775048272543733
Isoleucine,-0.43149130415381975,27.177931994252823,-4.376457982035969,0.0011259759779937355,0.0023181858370459256,-2.2535446132907992
Adenosine,1.1725774904988562,17.494498593821707,4.343899270703702,0.0011883762584776185,0.002376752516955237,-2.3099693983412015
GSH,0.26744371550103807,27.46310136725949,4.278235434837507,0.0013255000781034962,0.0025773612629790203,-2.4241106442186826
Tryptophan,-0.48495501350519987,22.635973397556608,-4.1834293522145325,0.0015533822935567324,0.0029388313661884127,-2.5896937465316974
Glycerylphosphorylcholine,-0.4667983011653405,29.43838418390177,-3.9950578985799536,0.00213605719652206,0.003934842204119584,-2.92124325569917
Nicotinamide/Picolinamide,-0.3814571680204111,23.178416954119104,-3.7693654478817553,0.0031456994120456277,0.005646127149825486,-3.322337872617153
Proline,0.2505680588911119,30.486659083513985,3.6248762096967044,0.004041724416151411,0.007073017728264969,-3.5808677144562804
Valine,-0.33408699631981875,25.169266923229593,-3.3994554779369004,0.005998453929392242,0.010241262806279437,-3.9859902776774527
Leucine,-0.31746137909890493,26.60381438362979,-2.610556806836353,0.02437084626404071,0.04061807710673452,-5.396183919470241
Valine-d8,0.3587800056458903,28.24567693611205,2.5307106071093335,0.028084485755529888,0.0454334510621527,-5.535602488843738
Propionylcarnitine,-0.20524661043441483,23.656410370166903,-2.521281716704537,0.028558169239067413,0.0454334510621527,-5.551994030196985
Pyruvate,-0.29066432226887073,22.801406826861882,-2.5048551149294855,0.029402180214597083,0.04573672477826213,-5.580511989395331
Citrulline,-0.5227173154907376,20.39659478629669,-2.2413313198692895,0.046770976646078065,0.07117322533098837,-6.030146774057322
Arginine,-0.27669329456641023,26.468547442751966,-2.2272778018619874,0.04793335081226002,0.07139009695442981,-6.0536449173588345
CTP,-0.4806711320018877,19.96522854968586,-2.2115986229342717,0.04926281938907401,0.07184161160906626,-6.079795742447812
UDP,-0.4959927017534902,17.71273377127536,-2.199531446500426,0.05030995278868411,0.07187136112669158,-6.099874312564364
Pyridoxine,-0.16307707857779974,24.85437781616556,-1.9337161074869107,0.07949008841602029,0.1112861237824284,-6.530202913351
ADP,0.17018500647006363,20.16661712547647,1.9125609812483129,0.08239042695221249,0.11308489973833087,-6.563346646222962
Mannitol/Sorbitol,-0.2888781850396498,24.74597671838573,-1.8664543057521585,0.08905326232251368,0.11987939158799919,-6.634946117609494
ATP,0.15411437674214667,23.59904857294502,1.8425287832039317,0.0927026772166346,0.12243749821064946,-6.671745725044401
Malate,0.09067743370533066,26.63445140909958,1.6599650769899488,0.12534611090411582,0.16248569932015014,-6.943865236982196
Glucose,-0.5302193141518607,22.637582249481177,-1.5941090534184075,0.13943512390814428,0.17644380247774177,-7.0379224688595965
UTP,0.3664579738734304,18.86227579060583,1.5864761876488556,0.14115504198219342,0.17644380247774177,-7.0486721217771455
Glyceraldehyde_3-phosphate,1.3034333083194625,19.404085016474703,1.4427457453765253,0.17992896220663623,0.22096539218358838,-7.167755096602225
Aconitate,0.3865982529948617,21.154632833573295,1.3743160271299322,0.19690370703026389,0.23764240503652537,-7.333794115502093
Creatinine,0.10323678214988874,26.149990862201633,1.3098217534054961,0.21715366716849138,0.2576399440982101,-7.414832215681851
Urea,0.13131572156037308,23.825839201001276,1.2447034720023744,0.2393033389329503,0.2791872287551087,-7.493757397841036
